cve_id,description,cvss_score,severity,published_date,cwe_ids,cleaned_description,extracted_entities,tokens,token_count,sentences,sentence_count
CVE-2018-19276,OpenMRS before 2.24.0 is affected by an Insecure Object Deserialization vulnerability that allows an unauthenticated user to execute arbitrary commands on the targeted system via crafted XML data in a request body.,9.8,CRITICAL,2019-03-21T16:00:30.390,CWE-502,OpenMRS before 2.24.0 is affected by an Insecure Object Deserialization vulnerability that allows an unauthenticated user to execute arbitrary commands on the targeted system via crafted XML data in a request body.,{'version': ['2.24.0']},"['openmrs', 'before', '2.24.0', 'is', 'affected', 'by', 'an', 'insecure', 'object', 'deserialization', 'vulnerability', 'that', 'allows', 'an', 'unauthenticated', 'user', 'to', 'execute', 'arbitrary', 'commands', 'on', 'the', 'targeted', 'system', 'via', 'crafted', 'xml', 'data', 'in', 'request', 'body']",31,['OpenMRS before 2.24.0 is affected by an Insecure Object Deserialization vulnerability that allows an unauthenticated user to execute arbitrary commands on the targeted system via crafted XML data in a request body.'],1
CVE-1999-1311,Vulnerability in dtlogin and dtsession in HP-UX 10.20 and 10.10 allows local users to bypass authentication and gain privileges.,4.6,MEDIUM,1997-01-07T05:00:00.000,Unknown,Vulnerability in dtlogin and dtsession in HP-UX 10.20 and 10.10 allows local users to bypass authentication and gain privileges.,"{'version': ['10.20', '10.10']}","['vulnerability', 'in', 'dtlogin', 'and', 'dtsession', 'in', 'hp-ux', '10.20', 'and', '10.10', 'allows', 'local', 'users', 'to', 'bypass', 'authentication', 'and', 'gain', 'privileges']",19,['Vulnerability in dtlogin and dtsession in HP-UX 10.20 and 10.10 allows local users to bypass authentication and gain privileges.'],1
CVE-2004-1842,Cross-site request forgery (CSRF) vulnerability in Php-Nuke 6.x through 7.1.0 allows remote attackers to gain administrative privileges via an img tag with a URL to admin.php.,8.8,HIGH,2004-12-31T05:00:00.000,CWE-352,Cross-site request forgery (CSRF) vulnerability in Php-Nuke 6.x through 7.1.0 allows remote attackers to gain administrative privileges via an img tag with a URL to admin.php.,{'version': ['7.1.0']},"['cross-site', 'request', 'forgery', 'csrf', 'vulnerability', 'in', 'php-nuke', '6.x', 'through', '7.1.0', 'allows', 'remote', 'attackers', 'to', 'gain', 'administrative', 'privileges', 'via', 'an', 'img', 'tag', 'with', 'url', 'to', 'admin.php']",25,['Cross-site request forgery (CSRF) vulnerability in Php-Nuke 6.x through 7.1.0 allows remote attackers to gain administrative privileges via an img tag with a URL to admin.php.'],1
CVE-2003-1345,Directory traversal vulnerability in s.dll in WebCollection Plus 5.00 allows remote attackers to view arbitrary files in c:\ via a full pathname in the d parameter.,5.0,MEDIUM,2003-12-31T05:00:00.000,CWE-22,Directory traversal vulnerability in s.dll in WebCollection Plus 5.00 allows remote attackers to view arbitrary files in c:\ via a full pathname in the d parameter.,{'version': ['5.00']},"['directory', 'traversal', 'vulnerability', 'in', 's.dll', 'in', 'webcollection', 'plus', '5.00', 'allows', 'remote', 'attackers', 'to', 'view', 'arbitrary', 'files', 'in', 'c', 'via', 'full', 'pathname', 'in', 'the', 'parameter']",24,['Directory traversal vulnerability in s.dll in WebCollection Plus 5.00 allows remote attackers to view arbitrary files in c:\\ via a full pathname in the d parameter.'],1
CVE-2011-1502,"Liferay Portal Community Edition (CE) 6.x before 6.0.6 GA, when Apache Tomcat is used, allows remote authenticated users to read arbitrary files via an entity declaration in conjunction with an entity reference, related to an XML External Entity (aka XXE) issue.",4.0,MEDIUM,2011-05-07T19:55:00.947,CWE-200,"Liferay Portal Community Edition (CE) 6.x before 6.0.6 GA, when Apache Tomcat is used, allows remote authenticated users to read arbitrary files via an entity declaration in conjunction with an entity reference, related to an XML External Entity (aka XXE) issue.",{'version': ['6.0.6']},"['liferay', 'portal', 'community', 'edition', 'ce', '6.x', 'before', '6.0.6', 'ga', 'when', 'apache', 'tomcat', 'is', 'used', 'allows', 'remote', 'authenticated', 'users', 'to', 'read', 'arbitrary', 'files', 'via', 'an', 'entity', 'declaration', 'in', 'conjunction', 'with', 'an', 'entity', 'reference', 'related', 'to', 'an', 'xml', 'external', 'entity', 'aka', 'xxe', 'issue']",41,"['Liferay Portal Community Edition (CE) 6.x before 6.0.6 GA, when Apache Tomcat is used, allows remote authenticated users to read arbitrary files via an entity declaration in conjunction with an entity reference, related to an XML External Entity (aka XXE) issue.']",1
CVE-2002-2426,"Cross-site request forgery (CSRF) vulnerability in Citrix Presentation Server 4.0 and 4.5, MetaFrame Presentation Server 3.0, and Access Essentials 1.0 through 2.0 allows remote attackers to execute arbitrary published applications, and possibly other programs, as authenticated users via the InitialProgram key in an ICA connection. NOTE: some of these details are obtained from third party information.",4.3,MEDIUM,2002-12-31T05:00:00.000,CWE-352,"Cross-site request forgery (CSRF) vulnerability in Citrix Presentation Server 4.0 and 4.5, MetaFrame Presentation Server 3.0, and Access Essentials 1.0 through 2.0 allows remote attackers to execute arbitrary published applications, and possibly other programs, as authenticated users via the InitialProgram key in an ICA connection. NOTE: some of these details are obtained from third party information.","{'version': ['4.0', '4.5', '3.0', '1.0', '2.0']}","['cross-site', 'request', 'forgery', 'csrf', 'vulnerability', 'in', 'citrix', 'presentation', 'server', '4.0', 'and', '4.5', 'metaframe', 'presentation', 'server', '3.0', 'and', 'access', 'essentials', '1.0', 'through', '2.0', 'allows', 'remote', 'attackers', 'to', 'execute', 'arbitrary', 'published', 'applications', 'and', 'possibly', 'other', 'programs', 'as', 'authenticated', 'users', 'via', 'the', 'initialprogram', 'key', 'in', 'an', 'ica', 'connection', 'note', 'some', 'of', 'these', 'details', 'are', 'obtained', 'from', 'third', 'party', 'information']",56,"['Cross-site request forgery (CSRF) vulnerability in Citrix Presentation Server 4.0 and 4.5, MetaFrame Presentation Server 3.0, and Access Essentials 1.0 through 2.0 allows remote attackers to execute arbitrary published applications, and possibly other programs, as authenticated users via the InitialProgram key in an ICA connection.', 'NOTE: some of these details are obtained from third party information.']",2
CVE-2002-0216,"userinfo.php in XOOPS 1.0 RC1 allows remote attackers to obtain sensitive information via a SQL injection attack in the ""uid"" parameter.",5.0,MEDIUM,2002-05-16T04:00:00.000,Unknown,"userinfo.php in XOOPS 1.0 RC1 allows remote attackers to obtain sensitive information via a SQL injection attack in the ""uid"" parameter.",{'version': ['1.0']},"['userinfo.php', 'in', 'xoops', '1.0', 'rc1', 'allows', 'remote', 'attackers', 'to', 'obtain', 'sensitive', 'information', 'via', 'sql', 'injection', 'attack', 'in', 'the', '``', 'uid', ""''"", 'parameter']",22,"['userinfo.php in XOOPS 1.0 RC1 allows remote attackers to obtain sensitive information via a SQL injection attack in the ""uid"" parameter.']",1
CVE-2003-1094,"BEA WebLogic Server and Express version 7.0 SP3 may follow certain code execution paths that result in an incorrect current user, such as in the frequent use of JNDI initial contexts, which could allow remote authenticated users to gain privileges.",7.2,HIGH,2003-12-31T05:00:00.000,Unknown,"BEA WebLogic Server and Express version 7.0 SP3 may follow certain code execution paths that result in an incorrect current user, such as in the frequent use of JNDI initial contexts, which could allow remote authenticated users to gain privileges.",{'version': ['7.0']},"['bea', 'weblogic', 'server', 'and', 'express', 'version', '7.0', 'sp3', 'may', 'follow', 'certain', 'code', 'execution', 'paths', 'that', 'result', 'in', 'an', 'incorrect', 'current', 'user', 'such', 'as', 'in', 'the', 'frequent', 'use', 'of', 'jndi', 'initial', 'contexts', 'which', 'could', 'allow', 'remote', 'authenticated', 'users', 'to', 'gain', 'privileges']",40,"['BEA WebLogic Server and Express version 7.0 SP3 may follow certain code execution paths that result in an incorrect current user, such as in the frequent use of JNDI initial contexts, which could allow remote authenticated users to gain privileges.']",1
CVE-2018-1000167,"OISF suricata-update version 1.0.0a1 contains an Insecure Deserialization vulnerability in the insecure yaml.load-Function as used in the following files: config.py:136, config.py:142, sources.py:99 and sources.py:131. The ""list-sources""-command is affected by this bug. that can result in Remote Code Execution(even as root if suricata-update is called by root). This attack appears to be exploitable via a specially crafted yaml-file at https://www.openinfosecfoundation.org/rules/index.yaml. This vulnerability appears to have been fixed in 1.0.0b1.",9.3,CRITICAL,2018-04-18T19:29:00.833,CWE-502,"OISF suricata-update version 1.0.0a1 contains an Insecure Deserialization vulnerability in the insecure yaml.load-Function as used in the following files: config.py:136, config.py:142, sources.py:99 and sources.py:131. The ""list-sources""-command is affected by this bug. that can result in Remote Code Execution(even as root if suricata-update is called by root). This attack appears to be exploitable via a specially crafted yaml-file at URL This vulnerability appears to have been fixed in 1.0.0b1.",{'version': ['1.0.0']},"['oisf', 'suricata-update', 'version', '1.0.0a1', 'contains', 'an', 'insecure', 'deserialization', 'vulnerability', 'in', 'the', 'insecure', 'yaml.load-function', 'as', 'used', 'in', 'the', 'following', 'files', 'config.py:136', 'config.py:142', 'sources.py:99', 'and', 'sources.py:131.', 'the', '``', 'list-sources', ""''"", '-command', 'is', 'affected', 'by', 'this', 'bug', 'that', 'can', 'result', 'in', 'remote', 'code', 'execution', 'even', 'as', 'root', 'if', 'suricata-update', 'is', 'called', 'by', 'root', 'this', 'attack', 'appears', 'to', 'be', 'exploitable', 'via', 'specially', 'crafted', 'yaml-file', 'at', 'url', 'this', 'vulnerability', 'appears', 'to', 'have', 'been', 'fixed', 'in', '1.0.0b1']",71,"['OISF suricata-update version 1.0.0a1 contains an Insecure Deserialization vulnerability in the insecure yaml.load-Function as used in the following files: config.py:136, config.py:142, sources.py:99 and sources.py:131.', 'The ""list-sources""-command is affected by this bug.', 'that can result in Remote Code Execution(even as root if suricata-update is called by root).', 'This attack appears to be exploitable via a specially crafted yaml-file at URL This vulnerability appears to have been fixed in 1.0.0b1.']",4
CVE-2001-1161,"Cross-site scripting (CSS) vulnerability in Lotus Domino 5.0.6 allows remote attackers to execute script on other web clients via a URL that ends in Javascript, which generates an error message that does not quote the resulting script.",7.5,HIGH,2001-07-02T04:00:00.000,Unknown,"Cross-site scripting (CSS) vulnerability in Lotus Domino 5.0.6 allows remote attackers to execute script on other web clients via a URL that ends in Javascript, which generates an error message that does not quote the resulting script.",{'version': ['5.0.6']},"['cross-site', 'scripting', 'css', 'vulnerability', 'in', 'lotus', 'domino', '5.0.6', 'allows', 'remote', 'attackers', 'to', 'execute', 'script', 'on', 'other', 'web', 'clients', 'via', 'url', 'that', 'ends', 'in', 'javascript', 'which', 'generates', 'an', 'error', 'message', 'that', 'does', 'not', 'quote', 'the', 'resulting', 'script']",36,"['Cross-site scripting (CSS) vulnerability in Lotus Domino 5.0.6 allows remote attackers to execute script on other web clients via a URL that ends in Javascript, which generates an error message that does not quote the resulting script.']",1
